_time,frequency,percentage
2025-03-14 08:00:00+00:00,3,1.3274336283185841
2025-03-14 11:00:00+00:00,37,16.371681415929203
2025-03-14 12:00:00+00:00,28,12.389380530973451
2025-03-14 13:00:00+00:00,46,20.353982300884958
2025-03-14 15:00:00+00:00,48,21.238938053097346
2025-03-14 16:00:00+00:00,7,3.0973451327433628
2025-03-14 17:00:00+00:00,0,0.0
2025-03-14 18:00:00+00:00,0,0.0
2025-03-14 19:00:00+00:00,0,0.0
2025-03-14 20:00:00+00:00,0,0.0
2025-03-14 21:00:00+00:00,0,0.0
2025-03-14 22:00:00+00:00,0,0.0
2025-03-14 23:00:00+00:00,0,0.0
2025-03-15 00:00:00+00:00,0,0.0
2025-03-15 01:00:00+00:00,0,0.0
2025-03-15 02:00:00+00:00,0,0.0
2025-03-15 03:00:00+00:00,0,0.0
2025-03-15 04:00:00+00:00,7,3.0973451327433628
2025-03-15 05:00:00+00:00,2,0.8849557522123894
2025-03-15 06:00:00+00:00,0,0.0
2025-03-15 07:00:00+00:00,0,0.0
2025-03-15 08:00:00+00:00,6,2.6548672566371683
2025-03-15 14:00:00+00:00,50,22.123893805309734
2025-03-15 15:00:00+00:00,37,16.371681415929203
2025-03-15 16:00:00+00:00,13,5.752212389380531
